id,suburb,state_id
398,SPIT JUNCTION,70
399,NEUTRAL BAY,70
400,NEUTRAL BAY JUNCTION,70
401,CREMORNE,70
402,CREMORNE JUNCTION,70
403,CREMORNE POINT,70
404,HMAS PENGUIN,70
405,SEAFORTH,70
406,BALGOWLAH,70
407,BALGOWLAH HEIGHTS,70
408,CLONTARF,70
409,MANLY VALE,70
410,NORTH BALGOWLAH,70
411,FAIRLIGHT,70
412,MANLY EAST,70
413,CURL CURL,70
414,FRESHWATER,70
415,QUEENSCLIFF,70
416,COLLAROY,70
417,COLLAROY BEACH,70
418,COLLAROY PLATEAU WEST,70
419,WHEELER HEIGHTS,70
420,CROMER,70
421,DEE WHY,70
422,NARRAWEENA,70
423,NORTH CURL CURL,70
424,ALLAMBIE HEIGHTS,70
425,BEACON HILL,70
426,BROOKVALE,70
427,NORTH MANLY,70
428,OXFORD FALLS,70
429,WARRINGAH MALL,70
430,ELANORA HEIGHTS,70
431,INGLESIDE,70
432,NARRABEEN,70
433,NORTH NARRABEEN,70
434,WARRIEWOOD,70
435,WARRIEWOOD SHOPPING SQUARE,70
436,BAYVIEW,70
437,CHURCH POINT,70
438,ELVINA BAY,70
439,LOVETT BAY,70
440,MORNING BAY,70
441,SCOTLAND ISLAND,70
442,NEWPORT,70
443,NEWPORT BEACH,70
444,AVALON,70
445,AVALON BEACH,70
446,BILGOLA,70
447,CLAREVILLE,70
448,WHALE BEACH,70
449,COASTERS RETREAT,70
450,GREAT MACKEREL BEACH,70
451,PALM BEACH,70
452,MACQUARIE UNIVERSITY,70
453,HUNTERS HILL,70
454,WOOLWICH,70
455,BORONIA PARK,70
456,HENLEY,70
457,HUNTLEYS COVE,70
458,HUNTLEYS POINT,70
459,MONASH PARK,70
460,TENNYSON POINT,70
461,DENISTONE EAST,70
462,PUTNEY,70
463,BLENHEIM ROAD,70
464,EAST RYDE,70
465,MACQUARIE CENTRE,70
466,MACQUARIE PARK,70
467,NORTH RYDE,70
468,DENISTONE,70
469,DENISTONE WEST,70
470,MEADOWBANK,70
471,MELROSE PARK,70
472,RYDALMERE,70
473,DUNDAS,70
474,DUNDAS VALLEY,70
475,OATLANDS,70
476,TELOPEA,70
477,CARLINGFORD,70
478,CARLINGFORD COURT,70
479,CARLINGFORD NORTH,70
480,KINGSDENE,70
481,BEECROFT,70
482,CHELTENHAM,70
483,THORNLEIGH,70
484,WESTLEIGH,70
485,NORTH EPPING,70
486,EASTWOOD,70
487,MARSFIELD,70
488,WEST PENNANT HILLS,70
489,CHERRYBROOK,70
490,NEWINGTON,70
491,SYDNEY OLYMPIC PARK,70
492,WENTWORTH POINT,70
493,SYDNEY MARKETS,70
494,SUMMER HILL,70
495,CROYDON,70
496,CROYDON PARK,70
497,ENFIELD SOUTH,70
498,BURWOOD NORTH,70
499,BURWOOD HEIGHTS,70
500,ENFIELD,70
501,STRATHFIELD SOUTH,70
502,BREAKFAST POINT,70
503,CABARITA,70
504,CONCORD,70
505,MORTLAKE,70
506,NORTH STRATHFIELD,70
507,CONCORD WEST,70
508,LIBERTY GROVE,70
509,RHODES,70
510,CONCORD REPATRIATION HOSPITAL,70
511,HOMEBUSH,70
512,HOMEBUSH SOUTH,70
513,HOMEBUSH WEST,70
514,BERALA,70
515,LIDCOMBE NORTH,70
516,ROOKWOOD,70
517,BLAXCELL,70
518,CAMELLIA,70
519,CLYDE,70
520,HOLROYD,70
521,ROSEHILL,70
522,SOUTH GRANVILLE,70
523,BIRRONG,70
524,POTTS HILL,70
525,REGENTS PARK,70
526,CONSTITUTION HILL,70
527,GIRRAWEEN,70
528,GREYSTANES,70
529,MAYS HILL,70
530,PEMULWUY,70
531,PENDLE HILL,70
532,SOUTH WENTWORTHVILLE,70
533,WENTWORTHVILLE,70
534,WESTMEAD,70
535,OLD TOONGABBIE,70
536,TOONGABBIE,70
537,TOONGABBIE EAST,70
538,KINGS LANGLEY,70
539,LALOR PARK,70
540,SEVEN HILLS WEST,70
541,ARNDELL PARK,70
542,BLACKTOWN,70
543,BLACKTOWN WESTPOINT,70
544,HUNTINGWOOD,70
545,KINGS PARK,70
546,MARAYONG,70
547,PROSPECT,70
548,HARRIS PARK,70
549,PARRAMATTA WESTFIELD,70
550,NORTH ROCKS,70
551,NORTHMEAD,70
552,BELLA VISTA,70
553,WINSTON HILLS,70
554,BEAUMONT HILLS,70
555,KELLYVILLE,70
556,KELLYVILLE RIDGE,70
557,ROUSE HILL,70
558,ANNANGROVE,70
559,GLENHAVEN,70
560,KENTHURST,70
561,CANOELANDS,70
562,FOREST GLEN,70
563,GLENORIE,70
564,DURAL,70
565,MIDDLE DURAL,70
566,ROUND CORNER,70
567,ARCADIA,70
568,BERRILEE,70
569,FIDDLETOWN,70
570,GALSTON,70
571,MERRYLANDS,70
572,MERRYLANDS WEST,70
573,GUILDFORD WEST,70
574,OLD GUILDFORD,70
