suburb,state_id,postcode,postcode,suburb,
ANATYE,71,,6280,AMBERGATE,
ANCONA,75,,4306,AMBERLEY,
ANDAMOOKA,73,,7310,AMBLESIDE,
ANDERGROVE,72,,4695,AMBROSE,
ANDERLEIGH,72,,4462,AMBY,
ANDERSON,75,,6338,AMELUP,
ANDO,70,,5222,AMERICAN BEACH,
ANDOVER,74,,5221,AMERICAN RIVER,
ANDREWS,73,,3371,AMHERST,
ANDREWS FARM,73,,4352,AMIENS,
ANDROMACHE,72,,4183,AMITY,
ANDURAMBA,72,,4183,AMITY POINT,
ANEMBO,70,,872,AMOONGUNA,
ANGAS PLAINS,73,,3825,AMOR,
ANGAS VALLEY,73,,3468,AMPHITHEATRE,
ANGASTON,73,,5431,AMYTON,
ANGELO RIVER,76,,3221,ANAKIE,
ANGLE PARK,73,,4702,ANAKIE,
ANGLE VALE,73,,5464,ANAMA,
ANGLEDALE,70,,2320,ANAMBAH,
ANGLEDOOL,70,,3715,ANCONA,
ANGLERS REACH,70,,5722,ANDAMOOKA,
ANGLERS REST,75,,4740,ANDERGROVE,
ANGLESEA,75,,4570,ANDERLEIGH,
ANGOURIE,70,,3995,ANDERSON,
ANGURUGU,71,,2631,ANDO,
ANINDILYAKWA,71,,7120,ANDOVER,
ANKETELL,76,,5454,ANDREWS,
ANMATJERE,71,,5114,ANDREWS FARM,
ANNA BAY,70,,4800,ANDROMACHE,
ANNADALE,73,,4355,ANDURAMBA,
ANNANDALE,70,,2621,ANEMBO,
ANNANGROVE,70,,5255,ANGAS PLAINS,
ANNERLEY,72,,5238,ANGAS VALLEY,
ANNERLEY DC,72,,5353,ANGASTON,
ANNIE RIVER,71,,6642,ANGELO RIVER,
ANNIEBROOK,76,,3393,ANGIP,
ANNUELLO,75,,5010,ANGLE PARK,
ANSONS BAY,74,,5117,ANGLE VALE,
ANSTEAD,72,,2550,ANGLEDALE,
ANTECHAMBER BAY,73,,2832,ANGLEDOOL,
ANTEWENEGERRDE,71,,2629,ANGLERS REACH,
ANTHONY,72,,3898,ANGLERS REST,
ANTIGUA,72,,3230,ANGLESEA,
ANTILL PONDS,74,,2464,ANGOURIE,
ANTONYMYRE,76,,6167,ANKETELL,
ANTWERP,75,,2316,ANNA BAY,
ANULA,71,,5356,ANNADALE,
APAMURRA,73,,2038,ANNANDALE,
APOINGA,73,,4814,ANNANDALE,
APOLLO BAY,74,,2156,ANNANGROVE,
APPILA,73,,4103,ANNERLEY,
APPIN,70,,6280,ANNIEBROOK,
APPIN SOUTH,75,,3549,ANNUELLO,
APPLE TREE CREEK,72,,7216,ANSONS BAY,
APPLE TREE FLAT,70,,4070,ANSTEAD,
APPLEBY,70,,5222,ANTECHAMBER BAY,
APPLECROSS,76,,4310,ANTHONY,
APPLECROSS NORTH,76,,4650,ANTIGUA,
APPLETHORPE,72,,7120,ANTILL PONDS,
APPLETREE FLAT,70,,6714,ANTONYMYRE,
APSLAWN,74,,3414,ANTWERP,
APSLEY,70,,5237,APAMURRA,
ARABLE,70,,5413,APOINGA,
ARAKOON,70,,3233,APOLLO BAY,
ARALUEN,70,,7150,APOLLO BAY,
ARAMAC,72,,5480,APPILA,
ARAMARA,72,,2560,APPIN,
ARANA HILLS,72,,3579,APPIN,
ARANBANGA,72,,3677,APPIN PARK,
ARANDA,69,,3579,APPIN SOUTH,
ARAPILES,75,,4660,APPLE TREE CREEK,
ARARAT,75,,2850,APPLE TREE FLAT,
ARATULA,70,,2340,APPLEBY,
ARAWATA,75,,6153,APPLECROSS,
ARBOUIN,72,,4378,APPLETHORPE,
ARBUCKLE,75,,2330,APPLETREE FLAT,
ARCADIA,70,,7190,APSLAWN,
ARCADIA SOUTH,75,,2820,APSLEY,
ARCADIA VALE,70,,3319,APSLEY,
ARCHDALE,75,,7030,APSLEY,
ARCHDALE JUNCTION,75,,2630,ARABLE,
ARCHER,71,,2431,ARAKOON,
ARCHER RIVER,72,,2622,ARALUEN,
ARCHERFIELD,72,,4570,ARALUEN,
ARCHERFIELD BC,72,,2622,ARALUEN NORTH,
ARCHERTON,75,,4726,ARAMAC,
ARCHIES CREEK,75,,4620,ARAMARA,
ARDATH,76,,4054,ARANA HILLS,
ARDEER,75,,4625,ARANBANGA,
ARDGLEN,70,,2614,ARANDA,
ARDING,70,,3409,ARAPILES,
ARDLETHAN,70,,3377,ARARAT,
ARDMONA,75,,2714,ARATULA,
ARDROSS,76,,4309,ARATULA,
ARDROSSAN,73,,3951,ARAWATA,
AREEGRA,75,,4871,ARBOUIN,
AREYONGA,71,,2159,ARCADIA,
ARGALONG,70,,3631,ARCADIA,
ARGENTON,70,,4819,ARCADIA,
ARGENTS HILL,70,,3631,ARCADIA SOUTH,
ARGOON,70,,2283,ARCADIA VALE,
ARGYLE,70,,3475,ARCHDALE,
ARGYLL,72,,3475,ARCHDALE JUNCTION,
ARIAH PARK,70,,4871,ARCHER RIVER,
ARKAROOLA VILLAGE,73,,4108,ARCHERFIELD,
ARKELL,70,,3723,ARCHERTON,
ARKSTONE,70,,3995,ARCHIES CREEK,
ARMADALE,75,,6419,ARDATH,
ARMADALE NORTH,75,,3022,ARDEER,
ARMAGH,73,,2338,ARDGLEN,
ARMATREE,70,,2358,ARDING,
ARMIDALE,70,,2665,ARDLETHAN,
ARMSTRONG,75,,3629,ARDMONA,
ARMSTRONG BEACH,72,,6153,ARDROSS,
ARMSTRONG CREEK,72,,5571,ARDROSSAN,
ARNCLIFFE,70,,3480,AREEGRA,
ARNDELL PARK,70,,872,AREYONGA,
ARNO BAY,73,,2720,ARGALONG,
ARNOLD,71,,2284,ARGENTON,
ARNOLD WEST,75,,2449,ARGENTS HILL,
AROONA,72,,2707,ARGOON,
ARRAWARRA,70,,4702,ARGOON,
ARRAWARRA HEADLAND,70,,2350,ARGYLE,
ARRIGA,72,,3523,ARGYLE,
ARRINO,76,,6239,ARGYLE,
ARROWSMITH,76,,4721,ARGYLL,
ARROWSMITH EAST,76,,2665,ARIAH PARK,
ARTARMON,70,,2795,ARKELL,
ARTHUR RIVER,74,,2795,ARKSTONE,
ARTHURS CREEK,75,,3143,ARMADALE,
ARTHURS LAKE,74,,6112,ARMADALE,
ARTHURS SEAT,75,,6992,ARMADALE,
ARTHURTON,73,,3143,ARMADALE NORTH,
ARTHURVILLE,70,,5453,ARMAGH,
ARUMBERA,71,,2831,ARMATREE,
ARUMPO,70,,2350,ARMIDALE,
ARUNDEL,72,,3377,ARMSTRONG,
ARUNDEL BC,72,,4737,ARMSTRONG BEACH,
ARUNDEL DC,72,,4520,ARMSTRONG CREEK,
ASCOT,72,,2205,ARNCLIFFE,
ASCOT PARK,73,,2148,ARNDELL PARK,
ASCOT VALE,75,,5603,ARNO BAY,
ASHBOURNE,73,,3551,ARNOLD,
ASHBURTON,75,,3551,ARNOLD WEST,
ASHBURY,70,,4551,AROONA,
ASHBY,70,,2456,ARRAWARRA,
ASHBY HEIGHTS,70,,2456,ARRAWARRA HEADLAND,
ASHBY ISLAND,70,,4880,ARRIGA,
ASHCROFT,70,,6519,ARRINO,
ASHENDON,76,,6525,ARROWSMITH,
ASHFIELD,70,,6519,ARROWSMITH EAST,
ASHFORD,70,,1570,ARTARMON,
ASHGROVE,72,,2064,ARTARMON,
ASHGROVE WEST,72,,6315,ARTHUR RIVER,
