suburb,state_id,postcode
BALLIANG,75,3340
BALLIANG EAST,75,3340
BALLIDU,76,6606
BALLIMORE,70,2830
BALLINA,70,2478
BALLOGIE,72,4610
BALLY BALLY,76,6304
BALLYROE,70,2795
BALLYROGAN,75,3375
BALMAIN,70,2041
BALMAIN EAST,70,2041
BALMATTUM,75,3666
BALMORAL,70,2283
BALMORAL,70,2571
BALMORAL,75,3407
BALMORAL,72,4171
BALMORAL RIDGE,72,4552
BALNAGOWAN,72,4740
BALNARRING,75,3926
BALNARRING BEACH,75,3926
BALOOK,75,3971
BALRANALD,70,2715
BALWYN,75,3103
BALWYN EAST,75,3103
BALWYN NORTH,75,3104
BAMAGA,72,4876
BAMARANG,70,2540
BAMAWM,75,3561
BAMAWM EXTENSION,75,3561
BAMBAROO,72,4850
BAMBOO,72,4873
BAMBOO CREEK,72,4860
BAMBRA,75,3241
BAMBUN,76,6503
BAMGANIE,75,3333
BAN BAN,72,4625
BAN BAN SPRINGS,72,4625
BANANA,72,4702
BANCA,74,7265
BANCROFT,72,4630
BANDA BANDA,70,2446
BANDIANA,75,3694
BANDIANA MILPO,75,3694
BANDON,70,2871
BANDON GROVE,70,2420
BANDY CREEK,76,6450
BANDYA,76,6440
BANGADANG,70,2729
BANGADILLY,70,2577
BANGALEE,70,2541
BANGALEE,72,4703
BANGALOW,70,2479
BANGERANG,75,3393
BANGHAM,73,5268
BANGHEET,70,2404
BANGHOLME,75,3175
BANGO,70,2582
BANGOR,70,2234
BANGOR,73,5481
BANGOR,74,7267
BANJUP,76,6164
BANKS,69,2906
BANKS CREEK,72,4306
BANKS POCKET,72,4570
BANKSIA,70,2216
BANKSIA BEACH,72,4507
BANKSIA GROVE,76,6031
BANKSIA PARK,73,5091
BANKSIADALE,76,6213
BANKSMEADOW,70,2019
BANKSTOWN,70,1885
BANKSTOWN,70,1888
BANKSTOWN,70,2200
BANKSTOWN AERODROME,70,2200
BANKSTOWN NORTH,70,2200
BANKSTOWN SQUARE,70,2200
BANNABY,70,2580
BANNERTON,75,3549
BANNISTER,70,2580
BANNISTER,76,6390
BANNOCKBURN,75,3331
BANNOCKBURN,72,4207
BANOON,70,2347
BANORA POINT,70,2486
BANYABBA,70,2469
BANYAN,75,3485
BANYENA,75,3388
BANYENONG,75,3480
BANYO,72,4014
BANYULE,75,3084
BAPAUME,72,4352
BAR BEACH,70,2300
BAR POINT,70,2083
BARA,70,2850
BARABBA,73,5460
BARADINE,70,2396
BARAIMAL,70,2470
BARALABA,72,4702
BARAMBAH,72,4601
BARANDUDA,75,3691
BARBALIN,76,6479
BARBERTON,76,6510
BARBIGAL,70,2830
BARCALDINE,72,4725
BARCALDINE DOWNS,72,4725
BARCOONGERE,70,2460
BARDEN RIDGE,70,2234
BARDON,72,4065
BARDWELL PARK,70,2207
BARDWELL VALLEY,70,2207
BAREE,72,4714
BAREENA,75,3220
BARELLAN,70,2665
BARELLAN POINT,72,4306
BARFOLD,75,3444
BARGARA,72,4670
BARGO,70,2574
BARHAM,70,2732
BARIGAN,70,2850
BARINGHUP,75,3463
BARINGHUP WEST,75,3463
BARINIA,73,5453
BARJARG,75,3723
BARKER CREEK FLAT,72,4615
BARKERS CREEK,75,3451
BARKERS VALE,70,2474
BARKLY,75,3381
BARKLY,72,4825
BARKSTEAD,75,3352
BARLIL,72,4605
BARLOWS HILL,72,4703
BARLYNE,72,4625
BARMAH,75,3639
BARMARYEE,72,4703
BARMEDMAN,70,2668
BARMERA,73,5345
BARMOYA,72,4703
BARNA,73,5641
BARNADOWN,75,3557
BARNARD,72,4702
BARNAWARTHA,75,3688
BARNAWARTHA NORTH,75,3691
BARNDIOOTA,73,5434
BARNES BAY,74,7150
BARNEY POINT,72,4680
BARNEY VIEW,72,4287
BARNEYS REEF,70,2852
BARNSLEY,70,2278
BAROMI,75,3871
BARONGAROOK,75,3249
BARONGAROOK WEST,75,3249
BAROOGA,70,3644
BAROOTA,73,5495
BAROSSA GOLDFIELDS,73,5351
BARRABA,70,2347
BARRABOOL,75,3221
BARRABUP,76,6275
BARRACK HEIGHTS,70,2528
BARRACK POINT,70,2528
BARRAGANYATTI,70,2441
BARRAGGA BAY,70,2546
BARRAKEE,75,3525
BARRAMORNIE,72,4416
BARRAMUNGA,75,3249
BARRAPORT,75,3537
BARRAPORT WEST,75,3537
BARRATTA,70,2710
BARRATTA,72,4809
BARREN GROUNDS,70,2577
BARRENGARRY,70,2577
BARRETTA,74,7054
BARRETTS CREEK,70,2460
BARRINE,72,4872
BARRINGELLA,70,2540
BARRINGHA,72,4816
BARRINGTON,70,2422
BARRINGTON,74,7306
BARRINGTON TOPS,70,2422
BARRINGUN,70,2840
BARRINGUN,72,4490
BARRON,72,4878
BARRON GORGE,72,4870
BARROW ISLAND,76,6712
BARRY,70,2340
BARRY,70,2799
BARRYS REEF,75,3458
BARTLE FRERE,72,4861
BARTON,69,221
BARTON,69,2600
BARUNAH PARK,75,3329
BARUNGA GAP,73,5520
BARWIDGEE,75,3737
BARWIDGI,72,4872
BARWITE,75,3722
BARWON,70,2396
BARWON DOWNS,75,3243
BARWON HEADS,75,3227
BARYULGIL,70,2460
BASALT,75,3460
BASALT,72,4820
BASILISK,72,4871
BASIN POCKET,72,4305
BASIN VIEW,70,2540
BASKERVILLE,76,6056
BASKET RANGE,73,5138
BASS,75,3991
BASS HILL,70,2197
BASSENDEAN,70,2365
BASSENDEAN,76,6054
BASSENDEAN,76,6934
BATAR CREEK,70,2439
BATCHELOR,71,845
BATEAU BAY,70,2261
BATEHAVEN,70,2536
BATEMAN,76,6150
BATEMANS BAY,70,2536
BATESFORD,75,3221
BATHAMPTON,70,2795
BATHUMI,75,3730
BATHURST,70,2795
BATLOW,70,2730
BATMAN,75,3058
BATTERY HILL,72,4551
BATTERY POINT,74,7004
BAUDIN,76,6284
BAUDIN BEACH,73,5222
BAUHINIA,72,4718
BAULKHAM HILLS,70,1755
BAULKHAM HILLS,70,2153
BAUPLE,72,4650
BAUPLE FOREST,72,4650
BAW BAW,75,3833
BAW BAW VILLAGE,75,3833
BAWLEY POINT,70,2539
BAXTER,75,3911
BAXTERS RIDGE,70,2422
BAY OF SHOALS,73,5223
BAY VILLAGE,70,2261
BAYAH,73,5260
BAYINDEEN,75,3375
BAYLES,75,3981
BAYNTON,75,3444
BAYNTON,76,6714
BAYNTON EAST,75,3444
BAYONET HEAD,76,6330
BAYRICK,72,4478
BAYSWATER,75,3153
BAYSWATER,76,6053
BAYSWATER,76,6933
BAYSWATER NORTH,75,3153
BAYVIEW,71,820
BAYVIEW,70,2104
BAYVIEW HEIGHTS,72,4868
BEACH HOLM,72,4818
BEACHLANDS,76,6530
BEACHMERE,72,4510
BEACHPORT,73,5280
BEACON,76,6472
BEACON HILL,70,2100
BEACONSFIELD,70,2015
BEACONSFIELD,75,3807
BEACONSFIELD,72,4740
BEACONSFIELD,76,6162
BEACONSFIELD,74,7270
BEACONSFIELD UPPER,75,3808
BEADELL,76,6440
BEALIBA,75,3475
BEAN CREEK,70,2469
BEARBONG,70,2827
BEARGAMIL,70,2870
BEARII,75,3641
BEARS LAGOON,75,3517
BEATRICE,72,4886
BEATTY,73,5320
BEAUCHAMP,75,3579
BEAUDESERT,72,4285
BEAUFORT,75,3373
BEAUFORT,72,4724
BEAUFORT,73,5550
BEAUFORT RIVER,76,6394
BEAUMARIS,75,3193
BEAUMARIS,74,7215
BEAUMONT,70,2577
BEAUMONT,73,5066
BEAUMONT,76,6450
BEAUMONT HILLS,70,2155
BEAUMONTS,73,5320
BEAUTY POINT,74,7270
BEAVER ROCK,72,4650
BEAZLEYS BRIDGE,75,3478
BECKENHAM,76,6107
BECKOM,70,2665
BECTIVE,70,2340
BECTRIC,70,2665
BEDFORD,76,6052
BEDFORD PARK,73,5042
BEDFORD ROAD,75,3135
BEDFORDALE,76,6112
BEDGEREBONG,70,2871
BEDOURIE,72,4829
BEEAC,75,3251
BEEBO,72,4385
BEECH FOREST,75,3237
BEECHBORO,76,6063
BEECHER,72,4680
BEECHFORD,74,7252
BEECHINA,76,6556
BEECHMONT,72,4211
BEECHWOOD,70,2446
BEECHWORTH,75,3747
BEECROFT,70,2119
BEECROFT PENINSULA,70,2540
BEEDELUP,76,6260
BEELA,76,6224
BEELBANGERA,70,2680
BEELBI CREEK,72,4659
BEELERUP,76,6239
BEELIAR,76,6164
BEEMUNNEL,70,2824
BEENAAM VALLEY,72,4570
BEENAK,75,3139
BEENLEIGH,72,4207
BEENONG,76,6353
BEERBURRUM,72,4517
BEERMULLAH,76,6503
BEERON,72,4626
BEERWAH,72,4519
BEES CREEK,71,822
BEETALOO,73,5523
BEGA,70,2550
BEGONIA,72,4487
BEILBA,72,4454
BEILPAJAH,70,2878
BEJOORDING,76,6566
BELAIR,73,5052
BELALIE EAST,73,5491
BELALIE NORTH,73,5491
BELANGLO,70,2577
BELBORA,70,2422
BELCONG,72,4723
BELCONNEN,69,2616
BELCONNEN,69,2617
BELDON,76,6027
BELFIELD,70,2191
BELFORD,70,2335
BELFRAYDEN,70,2650
BELGIAN GARDENS,72,4810
BELGRAVE,75,3160
BELGRAVE HEIGHTS,75,3160
BELGRAVE SOUTH,75,3160
BELGRAVIA,70,2800
BELGRAVIA,70,2830
BELHUS,76,6069
BELIMBLA PARK,70,2570
BELIVAH,72,4207
BELL,70,2786
BELL,72,4408
BELL BAY,74,7253
BELL PARK,75,3215
BELL POST HILL,75,3215
BELLA CREEK,72,4570
BELLA VISTA,70,2153
BELLAMBI,70,2518
BELLANGRY,70,2446
BELLARA,72,4507
BELLARINE,75,3221
BELLATA,70,2397
BELLAWONGARAH,70,2535
BELLBIRD,70,2325
BELLBIRD CREEK,75,3889
BELLBIRD HEIGHTS,70,2325
BELLBIRD PARK,72,4300
BELLBOWRIE,72,4070
BELLBRAE,75,3228
BELLBRIDGE,75,3691
BELLBROOK,70,2440
BELLELLEN,75,3380
BELLENDEN KER,72,4871
BELLERIVE,74,7018
BELLEVUE,72,4871
BELLEVUE,76,6056
BELLEVUE HEIGHTS,73,5050
BELLEVUE HILL,70,2023
BELLFIELD,75,3081
BELLFIELD,75,3381
BELLFIELD,72,4822
BELLI PARK,72,4562
BELLIMBOPINNI,70,2440
BELLINGEN,70,2454
BELLINGHAM,74,7254
BELLMERE,72,4510
BELLMOUNT FOREST,70,2581
BELLS BEACH,75,3228
BELLS BRIDGE,72,4570
BELLS CREEK,72,4551
BELLTHORPE,72,4514
BELLTREES,70,2337
BELLVIEW,75,3945
BELMONT,70,2280
BELMONT,75,3216
BELMONT,72,4153
BELMONT,76,6104
BELMONT,76,6984
BELMONT NORTH,70,2280
BELMONT SOUTH,70,2280
BELMORE,70,2192
BELMORE RIVER,70,2440
BELMUNDA,72,4740
BELOKA,70,2628
BELOWRA,70,2545
BELROSE,70,2085
BELROSE WEST,70,2085
BELTANA,73,5730
BELTON,73,5432
BELVEDERE,72,4860
BELVEDERE PARK,75,3198
BELVIDERE,73,5255
BEMBOKA,70,2550
BEMERSIDE,72,4850
BEMM RIVER,75,3889
BEN BUCKLEY,70,2850
BEN BULLEN,70,2790
BEN LOMOND,70,2365
BEN LOMOND,74,7212
BENA,75,3946
BENAIR,72,4610
BENALLA,75,3671
BENALLA,75,3672
BENALLA WEST,75,3672
BENAMBRA,75,3900
BENANDARAH,70,2536
BENANEE,70,2737
BENARABY,72,4680
BENARCA,70,2710
BENARKIN,72,4306
BENARKIN NORTH,72,4306
BENAYEO,75,3319
